edge_a,edge_b,mid_x,mid_y,mid_z,length
123993,124562,-0.480356,0.128466,1.542585,0.000543
195722,196160,-0.480149,0.128091,1.541459,0.000549
195723,196161,-0.480149,0.128091,1.541459,0.000549
195444,195882,-0.481155,0.133008,1.544513,0.000545
195445,195883,-0.481155,0.133008,1.544513,0.000545
65387,65967,-0.480791,0.131215,1.542379,0.000532
65388,65968,-0.480791,0.131215,1.542379,0.000532
195003,195441,-0.480672,0.13069,1.54128,0.000532
195004,195442,-0.480672,0.13069,1.54128,0.000532
124561,125130,-0.479813,0.128468,1.542597,0.000548
124562,125131,-0.479813,0.128468,1.542597,0.000548
178684,178685,-0.481317,0.136051,1.55408,0.007455
198490,198491,-0.481317,0.136051,1.55408,0.007455
178419,178420,-0.481317,0.136099,1.554068,0.007423
198478,198479,-0.481317,0.136099,1.554068,0.007423
69754,69755,-0.482291,0.136599,1.541596,0.013834
121628,121629,-0.482291,0.136599,1.541596,0.013834
121630,163450,-0.482287,0.136602,1.541574,0.013842
121630,193649,-0.482287,0.136602,1.541574,0.013842
196160,196598,-0.479605,0.128108,1.541471,0.000545
196161,196599,-0.479605,0.128108,1.541471,0.000545
195882,196320,-0.480616,0.133035,1.544542,0.000542
195883,196321,-0.480616,0.133035,1.544542,0.000542
40482,40483,-0.477973,0.123121,1.542625,0.004394
40483,69693,-0.477973,0.123121,1.542625,0.004394
65967,66547,-0.480265,0.131313,1.542417,0.000546
65968,66548,-0.480265,0.131313,1.542417,0.000546
195441,195879,-0.480138,0.130754,1.541246,0.000548
195442,195880,-0.480138,0.130754,1.541246,0.000548
125130,125699,-0.479282,0.128554,1.542565,0.000533
125131,125700,-0.479282,0.128554,1.542565,0.000533
196598,197036,-0.479089,0.128233,1.541515,0.000528
196599,197037,-0.479089,0.128233,1.541515,0.000528
196320,196758,-0.480094,0.132929,1.544582,0.000536
196321,196759,-0.480094,0.132929,1.544582,0.000536
66547,67127,-0.479721,0.131301,1.542424,0.000548
66548,67128,-0.479721,0.131301,1.542424,0.000548
195879,196317,-0.479595,0.130746,1.54126,0.000542
195880,196318,-0.479595,0.130746,1.54126,0.000542
198491,198492,-0.479621,0.132703,1.547844,0.007107
178685,198477,-0.479618,0.132707,1.547835,0.00712
178418,178419,-0.479618,0.132751,1.547828,0.007146
198477,198478,-0.479618,0.132751,1.547828,0.007146
