edge_a,edge_b,mid_x,mid_y,mid_z,length
40479,40480,-0.477115,0.127256,1.531951,0.006949
40479,69691,-0.477115,0.127256,1.531951,0.006949
194846,195284,-0.481168,0.128379,1.541533,0.00052
194847,195285,-0.481168,0.128379,1.541533,0.00052
122854,123423,-0.481335,0.128709,1.542434,0.000479
122855,123424,-0.481335,0.128709,1.542434,0.000479
196317,196755,-0.479079,0.130666,1.541321,0.000513
196318,196756,-0.479079,0.130666,1.541321,0.000513
67127,67707,-0.479196,0.131178,1.542398,0.000538
67128,67708,-0.479196,0.131178,1.542398,0.000538
197196,197633,-0.479233,0.132358,1.544683,0.00052
197197,197634,-0.479233,0.132358,1.544683,0.00052
143200,143201,0.659231,0.12805,1.538051,0.012232
143201,163129,0.659231,0.12805,1.538051,0.012232
143464,143465,0.659226,0.128089,1.538064,0.012068
143464,163130,0.659226,0.128089,1.538064,0.012068
194410,194846,-0.481574,0.128664,1.541615,0.000494
194411,194847,-0.481574,0.128664,1.541615,0.000494
122285,122854,-0.481703,0.128937,1.542306,0.000432
122286,122855,-0.481703,0.128937,1.542306,0.000432
195879,196317,-0.479595,0.130746,1.54126,0.000542
195880,196318,-0.479595,0.130746,1.54126,0.000542
66547,67127,-0.479721,0.131301,1.542424,0.000548
66548,67128,-0.479721,0.131301,1.542424,0.000548
196758,197196,-0.479622,0.132698,1.54463,0.000528
196759,197197,-0.479622,0.132698,1.54463,0.000528
193974,194410,-0.481874,0.129019,1.541719,0.000467
193975,194411,-0.481874,0.129019,1.541719,0.000467
195441,195879,-0.480138,0.130754,1.541246,0.000548
195442,195880,-0.480138,0.130754,1.541246,0.000548
121715,122285,-0.481955,0.129217,1.542153,0.000391
121716,122286,-0.481955,0.129217,1.542153,0.000391
178684,178685,-0.481317,0.136051,1.55408,0.007455
198490,198491,-0.481317,0.136051,1.55408,0.007455
65967,66547,-0.480265,0.131313,1.542417,0.000546
65968,66548,-0.480265,0.131313,1.542417,0.000546
178419,178420,-0.481317,0.136099,1.554068,0.007423
198478,198479,-0.481317,0.136099,1.554068,0.007423
196320,196758,-0.480094,0.132929,1.544582,0.000536
196321,196759,-0.480094,0.132929,1.544582,0.000536
193648,193974,-0.482045,0.12942,1.541838,0.000448
121630,193975,-0.482046,0.129451,1.541838,0.000508
195003,195441,-0.480672,0.13069,1.54128,0.000532
195004,195442,-0.480672,0.13069,1.54128,0.000532
121629,121715,-0.482074,0.12953,1.541987,0.00037
121630,121716,-0.482074,0.12953,1.541987,0.00037
65387,65967,-0.480791,0.131215,1.542379,0.000532
65388,65968,-0.480791,0.131215,1.542379,0.000532
163187,163188,-0.47835,0.131324,1.5374,0.006207
193636,193637,-0.47835,0.131324,1.5374,0.006207
163440,163441,-0.478346,0.131424,1.537403,0.006191
193638,193639,-0.478346,0.131424,1.537403,0.006191
193647,193648,-0.482197,0.12996,1.542553,0.001478
121630,163449,-0.482198,0.129992,1.542554,0.00145
194565,195003,-0.481159,0.130558,1.541359,0.000495
194566,195004,-0.481159,0.130558,1.541359,0.000495
163186,163187,-0.479924,0.133038,1.543455,0.006906
193635,193636,-0.479924,0.133038,1.543455,0.006906
64807,65387,-0.481263,0.131014,1.54231,0.00051
64808,65388,-0.481263,0.131014,1.54231,0.00051
163441,163442,-0.479919,0.13311,1.543451,0.006896
193639,193640,-0.479919,0.13311,1.543451,0.006896
194130,194565,-0.481568,0.130367,1.541478,0.000443
194130,194566,-0.481568,0.130367,1.541478,0.000443
195882,196320,-0.480616,0.133035,1.544542,0.000542
