edge_a,edge_b,mid_x,mid_y,mid_z,length
193629,193701,-0.482891,0.13125,1.544567,0.000515
123992,124561,-0.480356,0.128466,1.542585,0.000543
123993,124562,-0.480356,0.128466,1.542585,0.000543
66547,67127,-0.479721,0.131301,1.542424,0.000548
66548,67128,-0.479721,0.131301,1.542424,0.000548
178687,178688,-0.478095,0.136599,1.541699,0.013697
198494,198495,-0.478095,0.136599,1.541699,0.013697
95704,95705,-0.47809,0.136571,1.541677,0.013768
127930,127931,-0.47809,0.136571,1.541677,0.013768
196755,197193,-0.478626,0.13052,1.541425,0.000466
196756,197194,-0.478626,0.13052,1.541425,0.000466
196598,197036,-0.479089,0.128233,1.541515,0.000528
196599,197037,-0.479089,0.128233,1.541515,0.000528
65967,66547,-0.480265,0.131313,1.542417,0.000546
65968,66548,-0.480265,0.131313,1.542417,0.000546
163448,163449,-0.482607,0.130647,1.543889,0.001658
193646,193647,-0.482607,0.130647,1.543889,0.001658
163179,163180,-0.482607,0.130733,1.543889,0.001619
163179,193628,-0.482607,0.130733,1.543889,0.001619
123423,123992,-0.480876,0.128549,1.542529,0.000518
123424,123993,-0.480876,0.128549,1.542529,0.000518
196160,196598,-0.479605,0.128108,1.541471,0.000545
196161,196599,-0.479605,0.128108,1.541471,0.000545
196317,196755,-0.479079,0.130666,1.541321,0.000513
196318,196756,-0.479079,0.130666,1.541321,0.000513
65387,65967,-0.480791,0.131215,1.542379,0.000532
65388,65968,-0.480791,0.131215,1.542379,0.000532
122854,123423,-0.481335,0.128709,1.542434,0.000479
122855,123424,-0.481335,0.128709,1.542434,0.000479
195722,196160,-0.480149,0.128091,1.541459,0.000549
195723,196161,-0.480149,0.128091,1.541459,0.000549
195879,196317,-0.479595,0.130746,1.54126,0.000542
195880,196318,-0.479595,0.130746,1.54126,0.000542
64807,65387,-0.481263,0.131014,1.54231,0.00051
64808,65388,-0.481263,0.131014,1.54231,0.00051
122285,122854,-0.481703,0.128937,1.542306,0.000432
122286,122855,-0.481703,0.128937,1.542306,0.000432
195284,195722,-0.480681,0.128183,1.54148,0.00054
195285,195723,-0.480681,0.128183,1.54148,0.00054
193647,193648,-0.482197,0.12996,1.542553,0.001478
121630,163449,-0.482198,0.129992,1.542554,0.00145
195441,195879,-0.480138,0.130754,1.541246,0.000548
195442,195880,-0.480138,0.130754,1.541246,0.000548
64227,64807,-0.481648,0.130722,1.542218,0.000483
64228,64808,-0.481648,0.130722,1.542218,0.000483
121715,122285,-0.481955,0.129217,1.542153,0.000391
121716,122286,-0.481955,0.129217,1.542153,0.000391
194846,195284,-0.481168,0.128379,1.541533,0.00052
194847,195285,-0.481168,0.128379,1.541533,0.00052
63648,64227,-0.481921,0.130361,1.542106,0.00046
63648,64228,-0.481921,0.130361,1.542106,0.00046
195003,195441,-0.480672,0.13069,1.54128,0.000532
195004,195442,-0.480672,0.13069,1.54128,0.000532
95703,95704,-0.477505,0.150546,1.541248,0.014288
127929,127930,-0.477505,0.150546,1.541248,0.014288
178688,178689,-0.477495,0.150593,1.541222,0.014401
198495,198496,-0.477495,0.150593,1.541222,0.014401
194410,194846,-0.481574,0.128664,1.541615,0.000494
194411,194847,-0.481574,0.128664,1.541615,0.000494
121629,121715,-0.482074,0.12953,1.541987,0.00037
121630,121716,-0.482074,0.12953,1.541987,0.00037
193974,194410,-0.481874,0.129019,1.541719,0.000467
193975,194411,-0.481874,0.129019,1.541719,0.000467
