edge_a,edge_b,mid_x,mid_y,mid_z,length
122836,123405,-0.501559,0.271891,1.545956,0.000469
123405,123974,-0.501213,0.271559,1.546033,0.000507
123974,124543,-0.500798,0.271255,1.546063,0.000525
124543,125112,-0.500344,0.271003,1.546046,0.000519
125112,125681,-0.499881,0.270817,1.545981,0.000491
125681,126250,-0.499441,0.270711,1.545874,0.000444
126250,126819,-0.499053,0.270693,1.545732,0.000389
126819,127388,-0.498744,0.270763,1.545563,0.000337
121612,121698,-0.501985,0.272839,1.545515,0.000319
121612,121613,-0.501797,0.269175,1.544577,0.007781
121698,122268,-0.501959,0.272554,1.545688,0.000361
122268,122837,-0.501813,0.272231,1.545839,0.000417
122837,123406,-0.501559,0.271891,1.545956,0.000469
123406,123975,-0.501213,0.271559,1.546033,0.000507
123975,124544,-0.500798,0.271255,1.546063,0.000525
124544,125113,-0.500344,0.271003,1.546046,0.000519
125113,125682,-0.499881,0.270817,1.545981,0.000491
125682,126251,-0.499441,0.270711,1.545874,0.000444
126251,126820,-0.499053,0.270693,1.545732,0.000389
126820,127389,-0.498744,0.270763,1.545563,0.000337
127389,127917,-0.498781,0.270555,1.545283,0.000735
127917,127918,-0.499261,0.269152,1.544893,0.002393
121613,121614,-0.491851,0.261457,1.544621,0.021143
127918,127919,-0.488908,0.262747,1.544757,0.023788
121614,121615,-0.492384,0.254041,1.544377,0.021884
127919,127920,-0.488406,0.254182,1.544181,0.021406
121615,121616,-0.491534,0.248207,1.543932,0.022844
127920,127921,-0.487781,0.248704,1.543603,0.022011
121616,121617,-0.489655,0.236771,1.543554,0.026071
127395,127921,-0.475571,0.229734,1.542667,0.03376
121617,121618,-0.488136,0.219594,1.542073,0.02699
121618,121704,-0.477278,0.211522,1.54175,0.000216
121704,122274,-0.477108,0.211568,1.541919,0.000281
122274,122843,-0.476845,0.21166,1.542065,0.000351
122843,123412,-0.476508,0.211791,1.542177,0.000409
123412,123981,-0.476119,0.211953,1.542248,0.000447
123981,124550,-0.475705,0.212135,1.542272,0.00046
124550,125119,-0.475294,0.212324,1.542249,0.000447
125119,125688,-0.474914,0.212508,1.54218,0.00041
125688,126257,-0.474591,0.212673,1.542069,0.000352
126257,126826,-0.474346,0.212809,1.541925,0.000282
126826,127395,-0.474198,0.212906,1.541756,0.000217
121619,121705,-0.477278,0.211522,1.54175,0.000216
121619,121620,-0.477784,0.209664,1.541671,0.0038
121705,122275,-0.477108,0.211568,1.541919,0.000281
122275,122844,-0.476845,0.21166,1.542065,0.000351
122844,123413,-0.476508,0.211791,1.542177,0.000409
123413,123982,-0.476119,0.211953,1.542248,0.000447
123982,124551,-0.475705,0.212135,1.542272,0.00046
124551,125120,-0.475294,0.212324,1.542249,0.000447
125120,125689,-0.474914,0.212508,1.54218,0.00041
125689,126258,-0.474591,0.212673,1.542069,0.000352
126258,126827,-0.474346,0.212809,1.541925,0.000282
126827,127396,-0.474198,0.212906,1.541756,0.000217
127396,127923,-0.474633,0.213925,1.541605,0.002191
126829,127923,-0.481717,0.205524,1.541306,0.022946
121620,121621,-0.478186,0.204928,1.54174,0.00578
127397,127398,-0.474912,0.203727,1.541304,0.007859
121621,121622,-0.48489,0.199378,1.541277,0.014545
121622,121708,-0.491609,0.196653,1.540844,0.000225
121708,122278,-0.491493,0.196525,1.541015,0.000273
122278,122847,-0.491266,0.196397,1.541167,0.000338
122847,123416,-0.490942,0.196278,1.54129,0.000398
123416,123985,-0.490544,0.196177,1.541375,0.000443
123985,124554,-0.490099,0.1961,1.541418,0.000466
124554,125123,-0.489637,0.196053,1.541414,0.000464
125123,125692,-0.48919,0.196038,1.541364,0.000438
125692,126261,-0.488789,0.196057,1.541271,0.00039
126261,126829,-0.488459,0.196109,1.541142,0.000328
126829,127399,-0.488225,0.196189,1.540986,0.000265
127398,127399,-0.481637,0.19802,1.541059,0.013479
121623,121709,-0.491609,0.196653,1.540844,0.000225
121623,121624,-0.488442,0.195064,1.540506,0.007212
121709,122279,-0.491493,0.196525,1.541015,0.000273
122279,122848,-0.491266,0.196397,1.541167,0.000338
122848,123417,-0.490942,0.196278,1.54129,0.000398
123417,123986,-0.490544,0.196177,1.541375,0.000443
123986,124555,-0.490099,0.1961,1.541418,0.000466
124555,125124,-0.489637,0.196053,1.541414,0.000464
125124,125693,-0.48919,0.196038,1.541364,0.000438
125693,126262,-0.488789,0.196057,1.541271,0.00039
126262,126830,-0.488459,0.196109,1.541142,0.000328
126830,127400,-0.488225,0.196189,1.540986,0.000265
127400,127925,-0.487983,0.197293,1.540931,0.002137
127925,127926,-0.485027,0.197024,1.540942,0.006204
121624,121625,-0.484627,0.191081,1.540247,0.004821
127926,127927,-0.481271,0.192261,1.540984,0.007132
121625,121626,-0.485216,0.180127,1.540165,0.017419
127927,127928,-0.481527,0.180277,1.540967,0.017267
121626,121627,-0.483638,0.164512,1.540451,0.015068
127928,127929,-0.479732,0.164687,1.541014,0.015312
121627,121628,-0.481668,0.150514,1.54105,0.014117
127929,127930,-0.477505,0.150546,1.541248,0.014288
121628,121629,-0.482291,0.136599,1.541596,0.013834
121629,121715,-0.482074,0.12953,1.541987,0.00037
121715,122285,-0.481955,0.129217,1.542153,0.000391
122285,122854,-0.481703,0.128937,1.542306,0.000432
122854,123423,-0.481335,0.128709,1.542434,0.000479
123423,123992,-0.480876,0.128549,1.542529,0.000518
123992,124561,-0.480356,0.128466,1.542585,0.000543
124561,125130,-0.479813,0.128468,1.542597,0.000548
125130,125699,-0.479282,0.128554,1.542565,0.000533
