name,base_name,type,category_guess,visible_viewport,hide_viewport,hide_render,hide_select,collection_count,collections,data_name,data_users,vertices,faces,parent,children_count
HERO_Rooftop_Vent_3,HERO_Rooftop_Vent_3,MESH,Unsorted / Review,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cylinder.011,1,40,22,,0
HERO_Sidewalk_ExpansionJoint_X_1,HERO_Sidewalk_ExpansionJoint_X_1,MESH,Unsorted / Review,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.198,1,8,6,,0
HERO_Sidewalk_ExpansionJoint_X_2,HERO_Sidewalk_ExpansionJoint_X_2,MESH,Unsorted / Review,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.199,1,8,6,,0
HERO_Sidewalk_ExpansionJoint_X_3,HERO_Sidewalk_ExpansionJoint_X_3,MESH,Unsorted / Review,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.200,1,8,6,,0
HERO_Sidewalk_ExpansionJoint_X_4,HERO_Sidewalk_ExpansionJoint_X_4,MESH,Unsorted / Review,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.201,1,8,6,,0
HERO_Sidewalk_ExpansionJoint_X_5,HERO_Sidewalk_ExpansionJoint_X_5,MESH,Unsorted / Review,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.202,1,8,6,,0
HERO_Sidewalk_ExpansionJoint_X_6,HERO_Sidewalk_ExpansionJoint_X_6,MESH,Unsorted / Review,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.203,1,8,6,,0
HERO_Sidewalk_ExpansionJoint_X_7,HERO_Sidewalk_ExpansionJoint_X_7,MESH,Unsorted / Review,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.204,1,8,6,,0
HERO_Sidewalk_WideTop,HERO_Sidewalk_WideTop,MESH,Unsorted / Review,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.195,1,8,6,,0
HERO_Storefront_CenterMullion_0,HERO_Storefront_CenterMullion_0,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.169,1,8,6,,0
HERO_Storefront_CenterMullion_3,HERO_Storefront_CenterMullion_3,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.190,1,8,6,,0
HERO_Storefront_ContinuousBottomFrame,HERO_Storefront_ContinuousBottomFrame,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.059,1,8,6,,0
HERO_Storefront_ContinuousTopFrame,HERO_Storefront_ContinuousTopFrame,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.058,1,8,6,,0
HERO_Storefront_LeftVertical_0,HERO_Storefront_LeftVertical_0,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.119,1,8,6,,0
HERO_Storefront_LeftVertical_1,HERO_Storefront_LeftVertical_1,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.171,1,8,6,,0
HERO_Storefront_LeftVertical_2,HERO_Storefront_LeftVertical_2,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.179,1,8,6,,0
HERO_Storefront_LeftVertical_3,HERO_Storefront_LeftVertical_3,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.187,1,8,6,,0
HERO_Storefront_MidHorizontal_0,HERO_Storefront_MidHorizontal_0,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.133,1,8,6,,0
HERO_Storefront_MidHorizontal_1,HERO_Storefront_MidHorizontal_1,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.173,1,8,6,,0
HERO_Storefront_MidHorizontal_2,HERO_Storefront_MidHorizontal_2,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.181,1,8,6,,0
HERO_Storefront_MidHorizontal_3,HERO_Storefront_MidHorizontal_3,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.189,1,8,6,,0
HERO_Storefront_RightVertical_0,HERO_Storefront_RightVertical_0,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.126,1,8,6,,0
HERO_Storefront_RightVertical_1,HERO_Storefront_RightVertical_1,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.172,1,8,6,,0
HERO_Storefront_RightVertical_2,HERO_Storefront_RightVertical_2,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.180,1,8,6,,0
