object,category,parent,parent_type,children,matrix_parent_inverse_translation
Plane.024,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.025,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.026,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.027,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.028,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.029,OTHER,Cast iron sewer hatch,OBJECT,,"[-0.0, 0.0, 0.029513534158468246]"
Plane.030,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.031,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.032,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.033,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.034,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.035,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.036,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.037,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.038,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.039,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.040,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.041,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.042,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.043,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.045,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.047,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.048,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.049,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.050,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.051,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.052,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.053,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.054,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.055,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.056,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.057,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.058,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.059,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.060,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.061,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.062,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.063,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.064,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.065,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.066,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.067,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.068,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.069,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.070,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.071,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.072,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.074,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.076,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Plane.077,OTHER,Audi e-tron GT quattro Black,OBJECT,,"[-0.0, 0.0, -0.0]"
Ribbing.001,OTHER,Large Trash Can,OBJECT,,"[-0.0, 0.0, -0.0]"
Shoes,CHARACTER,,OBJECT,Plane.001 | Plane.022,"[0.0, 0.0, 0.0]"
