name,base_name,type,visible,hide_viewport,hide_render,hide_select,collections,data_name,data_users,vertices,faces,modifiers,bounds_world
Cargo pants,Cargo pants,MESH,True,False,False,False,"[""PANTS""]",Cargo pants,1,16507,16424,"[{""name"": ""Collision"", ""type"": ""COLLISION"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [-0.42348, -0.232158, 0.221276], ""max"": [0.620876, 0.37724, 1.194326], ""center"": [0.098698, 0.072541, 0.707801], ""dimensions"": [1.044356, 0.609398, 0.97305]}"
Cast iron sewer hatch,Cast iron sewer hatch,EMPTY,True,False,False,False,"[""PROPS""]",,0,0,0,[],
Circle,Circle,MESH,True,False,False,False,"[""SAME_NAME_Circle""]",Circle.001,1,161,156,"[{""name"": ""Subdivision"", ""type"": ""SUBSURF"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [-3.348525, 8.654436, 0.580134], ""max"": [-3.315588, 8.693769, 0.599432], ""center"": [-3.332057, 8.674103, 0.589783], ""dimensions"": [0.032937, 0.039333, 0.019298]}"
Circle.001,Circle,MESH,True,False,False,False,"[""SAME_NAME_Circle""]",Circle.002,1,1402,1280,"[{""name"": ""Subdivision"", ""type"": ""SUBSURF"", ""show_viewport"": true, ""show_render"": true}, {""name"": ""WeightedNormal"", ""type"": ""WEIGHTED_NORMAL"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [-3.502127, 8.550106, 0.897922], ""max"": [-3.149012, 8.774282, 1.015082], ""center"": [-3.325569, 8.662193, 0.956502], ""dimensions"": [0.353115, 0.224175, 0.11716]}"
Circle.002,Circle,MESH,True,False,False,False,"[""SAME_NAME_Circle""]",Circle.006,1,4324,4282,"[{""name"": ""Subdivision"", ""type"": ""SUBSURF"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [-3.282725, 6.007515, 1.386014], ""max"": [-1.222831, 7.366506, 1.522512], ""center"": [-2.252779, 6.687011, 1.454263], ""dimensions"": [2.059894, 1.35899, 0.136498]}"
Circle.003,Circle,MESH,True,False,False,False,"[""SAME_NAME_Circle""]",Circle.007,1,24792,20464,"[{""name"": ""Smooth by Angle"", ""type"": ""NODES"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [-4.068943, 2.155668, 0.2451], ""max"": [1.014072, 8.244566, 0.918895], ""center"": [-1.527435, 5.200117, 0.581997], ""dimensions"": [5.083015, 6.088898, 0.673795]}"
Circle.006,Circle,MESH,True,False,False,False,"[""SAME_NAME_Circle""]",Circle.014,1,1408,1280,"[{""name"": ""Subdivision"", ""type"": ""SUBSURF"", ""show_viewport"": true, ""show_render"": true}, {""name"": ""WeightedNormal"", ""type"": ""WEIGHTED_NORMAL"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [0.105091, 1.674089, 1.39533], ""max"": [0.403846, 1.879163, 1.473909], ""center"": [0.254469, 1.776626, 1.434619], ""dimensions"": [0.298755, 0.205074, 0.078579]}"
Circle.007,Circle,MESH,True,False,False,False,"[""SAME_NAME_Circle""]",Circle.013,1,690,624,"[{""name"": ""WeightedNormal"", ""type"": ""WEIGHTED_NORMAL"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [-3.512757, 8.400813, 0.895987], ""max"": [-3.059455, 8.771642, 1.034407], ""center"": [-3.286106, 8.586227, 0.965197], ""dimensions"": [0.453302, 0.370829, 0.13842]}"
Circle.009,Circle,MESH,True,False,False,False,"[""SAME_NAME_Circle""]",Circle.016,1,23528,24192,"[{""name"": ""Subdivision"", ""type"": ""SUBSURF"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [-4.213433, 1.97403, 0.08552], ""max"": [1.159382, 8.424627, 1.080667], ""center"": [-1.527025, 5.199328, 0.583093], ""dimensions"": [5.372815, 6.450598, 0.995147]}"
Circle.011,Circle,MESH,True,False,False,False,"[""SAME_NAME_Circle""]",Circle.018,1,5632,5120,"[{""name"": ""Subdivision"", ""type"": ""SUBSURF"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [-3.979733, 2.389325, 0.561876], ""max"": [0.923437, 8.013652, 0.598556], ""center"": [-1.528148, 5.201488, 0.580216], ""dimensions"": [4.90317, 5.624327, 0.036681]}"
Cylinder,Cylinder,MESH,True,False,False,False,"[""PROPS""]",Cylinder.002,1,60,51,"[{""name"": ""Subdivision"", ""type"": ""SUBSURF"", ""show_viewport"": true, ""show_render"": true}, {""name"": ""WeightedNormal"", ""type"": ""WEIGHTED_NORMAL"", ""show_viewport"": true, ""show_render"": true}, {""name"": ""PARKING_TO_ASPHALT_PREVIEW"", ""type"": ""SHRINKWRAP"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [-10.852047, 19.182001, 0.076216], ""max"": [-10.80525, 19.228815, 2.065516], ""center"": [-10.828649, 19.205408, 1.070866], ""dimensions"": [0.046797, 0.046814, 1.989299]}"
DIAG_CURRENT_FULL_3Q,DIAG_CURRENT_FULL_3Q,CAMERA,True,False,False,False,"[""Scene Collection""]",DIAG_CURRENT_FULL_3Q_Data,1,0,0,[],
DIAG_CURRENT_FULL_FRONT,DIAG_CURRENT_FULL_FRONT,CAMERA,True,False,False,False,"[""Scene Collection""]",DIAG_CURRENT_FULL_FRONT_Data,1,0,0,[],
DIAG_CURRENT_HOOD_TOP,DIAG_CURRENT_HOOD_TOP,CAMERA,True,False,False,False,"[""Scene Collection""]",DIAG_CURRENT_HOOD_TOP_Data,1,0,0,[],
DIAG_CURRENT_LEFT_ARMPIT,DIAG_CURRENT_LEFT_ARMPIT,CAMERA,True,False,False,False,"[""Scene Collection""]",DIAG_CURRENT_LEFT_ARMPIT_Data,1,0,0,[],
DIAG_CURRENT_RIGHT_ARMPIT,DIAG_CURRENT_RIGHT_ARMPIT,CAMERA,True,False,False,False,"[""Scene Collection""]",DIAG_CURRENT_RIGHT_ARMPIT_Data,1,0,0,[],
F2,F2,MESH,True,False,False,False,"[""Main Model""]",Meshy_Left_Standing_Candidate.006,2,33625,63717,[],"{""min"": [-0.967927, -0.399883, 0.397306], ""max"": [1.195227, 0.347408, 2.561233], ""center"": [0.11365, -0.026238, 1.479269], ""dimensions"": [2.163155, 0.747291, 2.163927]}"
F2.001,F2,MESH,False,True,True,False,"[""Main Model""]",Meshy_Left_Standing_Candidate.006,2,33625,63717,[],"{""min"": [-0.999551, -0.002256, -0.232987], ""max"": [0.0, 0.637435, 0.110274], ""center"": [-0.499776, 0.317589, -0.061357], ""dimensions"": [0.999551, 0.639691, 0.343261]}"
FINAL_ORBIT_RIG,FINAL_ORBIT_RIG,EMPTY,True,False,False,False,"[""07_CAMERAS""]",,0,0,0,[],
FX_ReflectCard_Green_01,FX_ReflectCard_Green_01,MESH,True,False,False,False,"[""LIGHTS_AND_REFLECTION_HELPERS""]",FX_ReflectCard_Green_01_Mesh.001,1,33,1,[],"{""min"": [5.209022, -1.046946, 2.465971], ""max"": [5.429022, -0.826946, 2.465971], ""center"": [5.319022, -0.936946, 2.465971], ""dimensions"": [0.22, 0.22, 0.0]}"
FX_ReflectCard_Green_02,FX_ReflectCard_Green_02,MESH,True,False,False,False,"[""LIGHTS_AND_REFLECTION_HELPERS""]",FX_ReflectCard_Green_02_Mesh.001,1,33,1,[],"{""min"": [4.021555, -1.026946, 1.951001], ""max"": [4.161556, -0.886946, 1.951001], ""center"": [4.091556, -0.956946, 1.951001], ""dimensions"": [0.14, 0.14, 0.0]}"
FX_ReflectCard_Red_01,FX_ReflectCard_Red_01,MESH,True,False,False,False,"[""LIGHTS_AND_REFLECTION_HELPERS""]",FX_ReflectCard_Red_01_Mesh.001,1,33,1,[],"{""min"": [-5.838178, -1.046946, 2.505584], ""max"": [-5.618177, -0.826946, 2.505584], ""center"": [-5.728178, -0.936946, 2.505584], ""dimensions"": [0.22, 0.22, 0.0]}"
FX_ReflectCard_Red_02,FX_ReflectCard_Red_02,MESH,True,False,False,False,"[""LIGHTS_AND_REFLECTION_HELPERS""]",FX_ReflectCard_Red_02_Mesh.001,1,33,1,[],"{""min"": [-4.570711, -1.026946, 1.990614], ""max"": [-4.430711, -0.886946, 1.990614], ""center"": [-4.500711, -0.956946, 1.990614], ""dimensions"": [0.14, 0.14, 0.0]}"
FX_ReflectCard_Yellow_01,FX_ReflectCard_Yellow_01,MESH,True,False,False,False,"[""LIGHTS_AND_REFLECTION_HELPERS""]",FX_ReflectCard_Yellow_01_Mesh.001,1,33,1,[],"{""min"": [-0.1, -1.036946, 2.426358], ""max"": [0.1, -0.836946, 2.426358], ""center"": [0.0, -0.936946, 2.426358], ""dimensions"": [0.2, 0.2, 0.0]}"
FX_ReflectCard_Yellow_02,FX_ReflectCard_Yellow_02,MESH,True,False,False,False,"[""LIGHTS_AND_REFLECTION_HELPERS""]",FX_ReflectCard_Yellow_02_Mesh.001,1,33,1,[],"{""min"": [1.162467, -1.021946, 1.871775], ""max"": [1.292467, -0.891946, 1.871775], ""center"": [1.227467, -0.956946, 1.871775], ""dimensions"": [0.13, 0.13, 0.0]}"
FX_TrafficLight_Green,FX_TrafficLight_Green,LIGHT,False,False,False,False,"[""LIGHTS_AND_REFLECTION_HELPERS""]",FX_TrafficLight_Green_Data,1,0,0,[],
