kind,name,filepath,absolute_path,exists,packed,source
IMAGE,fabric-60_smooth.jpg.003,//assets\materials\cloth-black_bb279836-2d6c-46f0-a9b6-5d19fb5b65df\textures_1k\fabric-60_smooth.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\materials\cloth-black_bb279836-2d6c-46f0-a9b6-5d19fb5b65df\textures_1k\fabric-60_smooth.jpg,False,True,FILE
IMAGE,fabric-60_smooth.jpg.004,//assets\materials\cloth-black_bb279836-2d6c-46f0-a9b6-5d19fb5b65df\textures_1k\fabric-60_smooth.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\materials\cloth-black_bb279836-2d6c-46f0-a9b6-5d19fb5b65df\textures_1k\fabric-60_smooth.jpg,False,True,FILE
IMAGE,fabric-60_smooth.jpg.005,//assets\materials\cloth-black_bb279836-2d6c-46f0-a9b6-5d19fb5b65df\textures_1k\fabric-60_smooth.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\materials\cloth-black_bb279836-2d6c-46f0-a9b6-5d19fb5b65df\textures_1k\fabric-60_smooth.jpg,False,True,FILE
IMAGE,flowers_alpha.png,//assets\models\no-parking-sign-_a3485c33-d9d3-4ee4-b83a-ef3d263f26de\textures_2k\flowers_alpha.png,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\no-parking-sign-_a3485c33-d9d3-4ee4-b83a-ef3d263f26de\textures_2k\flowers_alpha.png,False,True,FILE
IMAGE,Hatch_C,//assets\models\cast-iron-sewer-_22ae1c62-6a01-445a-ad28-a8705aa4b44e\textures_2k\Hatch_C.png,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\cast-iron-sewer-_22ae1c62-6a01-445a-ad28-a8705aa4b44e\textures_2k\Hatch_C.png,False,True,FILE
IMAGE,Hatch_N,//assets\models\cast-iron-sewer-_22ae1c62-6a01-445a-ad28-a8705aa4b44e\textures_2k\Hatch_N.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\cast-iron-sewer-_22ae1c62-6a01-445a-ad28-a8705aa4b44e\textures_2k\Hatch_N.jpg,False,True,FILE
IMAGE,Image_0,//assets\models\utility-box-phot_e0ae03e0-2f71-4d55-8720-729d613b8c08\textures_2k\Image_0,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\utility-box-phot_e0ae03e0-2f71-4d55-8720-729d613b8c08\textures_2k\Image_0,False,True,FILE
IMAGE,Image_0.009,//assets\models\traffic-cone-pho_c476aac0-44af-4dcf-b110-b48aca461084\textures_2k\Image_0,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\traffic-cone-pho_c476aac0-44af-4dcf-b110-b48aca461084\textures_2k\Image_0,False,True,FILE
IMAGE,Image_2,//assets\models\utility-box-phot_e0ae03e0-2f71-4d55-8720-729d613b8c08\textures_2k\Image_2,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\utility-box-phot_e0ae03e0-2f71-4d55-8720-729d613b8c08\textures_2k\Image_2,False,True,FILE
IMAGE,Image_2.009,//assets\models\traffic-cone-pho_c476aac0-44af-4dcf-b110-b48aca461084\textures_2k\Image_2,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\traffic-cone-pho_c476aac0-44af-4dcf-b110-b48aca461084\textures_2k\Image_2,False,True,FILE
IMAGE,mesh_rm_Bake1_PBR StoA_Diffuse,//assets\models\asphalt-ground_f3ceb568-49d5-4455-822f-52389b95d658\textures_2k\mesh_rm_Bake1_PBR StoA_Diffuse,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\asphalt-ground_f3ceb568-49d5-4455-822f-52389b95d658\textures_2k\mesh_rm_Bake1_PBR StoA_Diffuse,False,True,FILE
IMAGE,Metal012_2K_Color.jpg.001,//assets\models\shoes_0d743631-3d77-4d91-a01a-1bc7b1724188\textures_2k\Metal012_2K_Color000.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\shoes_0d743631-3d77-4d91-a01a-1bc7b1724188\textures_2k\Metal012_2K_Color000.jpg,False,True,FILE
IMAGE,Metal012_2K_Color.jpg.004,//assets\models\shoes_0d743631-3d77-4d91-a01a-1bc7b1724188\textures_2k\Metal012_2K_Color.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\shoes_0d743631-3d77-4d91-a01a-1bc7b1724188\textures_2k\Metal012_2K_Color.jpg,False,True,FILE
IMAGE,Metal012_2K_Displacement.jpg.002,//assets\models\shoes_0d743631-3d77-4d91-a01a-1bc7b1724188\textures_2k\Metal012_2K_Displacement.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\shoes_0d743631-3d77-4d91-a01a-1bc7b1724188\textures_2k\Metal012_2K_Displacement.jpg,False,True,FILE
IMAGE,Metal012_2K_Normal.jpg.002,//assets\models\shoes_0d743631-3d77-4d91-a01a-1bc7b1724188\textures_2k\Metal012_2K_Normal.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\shoes_0d743631-3d77-4d91-a01a-1bc7b1724188\textures_2k\Metal012_2K_Normal.jpg,False,True,FILE
IMAGE,Metal012_2K_Roughness.jpg.002,//assets\models\shoes_0d743631-3d77-4d91-a01a-1bc7b1724188\textures_2k\Metal012_2K_Roughness.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\shoes_0d743631-3d77-4d91-a01a-1bc7b1724188\textures_2k\Metal012_2K_Roughness.jpg,False,True,FILE
IMAGE,NightSkyHDRI003_1K_HDR.exr,//..\NightSkyHDRI003_1K\NightSkyHDRI003_1K_HDR.exr,C:\BlenderProjects\SackboyMusicVideo\Project\blender\..\NightSkyHDRI003_1K\NightSkyHDRI003_1K_HDR.exr,True,False,FILE
IMAGE,Render Result,,,False,False,VIEWER
IMAGE,SAMC3230.jpg,//assets\models\stop-road-sign_f05b07cb-87b3-4142-87f5-165a5d05c2d3\textures_2k\SAMC3230.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\stop-road-sign_f05b07cb-87b3-4142-87f5-165a5d05c2d3\textures_2k\SAMC3230.jpg,False,True,FILE
IMAGE,STOP.jpg,//assets\models\stop-road-sign_f05b07cb-87b3-4142-87f5-165a5d05c2d3\textures_2k\STOP.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\stop-road-sign_f05b07cb-87b3-4142-87f5-165a5d05c2d3\textures_2k\STOP.jpg,False,True,FILE
IMAGE,Viewer Node,,,False,False,VIEWER
