name,type,energy,color,location,rotation_euler,hide_viewport,hide_render,collections
FX_TrafficLight_Green,SPOT,360.0,"[0.05000000074505806, 1.0, 0.1599999964237213]","[5.728177547454834, -4.716946125030518, 2.4263575077056885]","[1.5484920740127563, 7.786525912933939e-08, 0.9381227493286133]",False,False,LIGHTS_AND_REFLECTION_HELPERS
FX_TrafficLight_Red,SPOT,450.0,"[1.0, 0.019999999552965164, 0.009999999776482582]","[-5.728177547454834, -4.716946125030518, 2.4263575077056885]","[1.5484920740127563, -7.786525912933939e-08, -0.9381227493286133]",False,False,LIGHTS_AND_REFLECTION_HELPERS
FX_TrafficLight_Yellow,SPOT,420.0,"[1.0, 0.8199999928474426, 0.05000000074505806]","[0.0, -4.966946125030518, 2.5055835247039795]","[1.517436146736145, -0.0, 0.0]",False,False,LIGHTS_AND_REFLECTION_HELPERS
HERO_CarAmberHoodRead,SPOT,100.0,"[1.0, 0.25720271468162537, 0.006591937504708767]","[5.265153884887695, 1.978294849395752, 5.190776824951172]","[-0.018606707453727722, 0.020346131175756454, 3.3069701194763184]",False,False,LIGHTS_AND_REFLECTION_HELPERS
HERO_CarAmberRoofRead,SPOT,100.00001525878906,"[1.0, 0.2160222828388214, 0.003789727808907628]","[-5.1865057945251465, 1.9953433275222778, 5.201615333557129]","[0.04073687642812729, 0.029513869434595108, -0.6313019394874573]",False,False,LIGHTS_AND_REFLECTION_HELPERS
HERO_CarWarmSideGlint,SPOT,90.0,"[1.0, 0.3799999952316284, 0.07999999821186066]","[0.00734373927116394, 22.906091690063477, 7.155600547790527]","[-0.008619682863354683, -4.607848680393545e-08, -1.570796251296997]",False,False,LIGHTS_AND_REFLECTION_HELPERS
HERO_CyanUnderglow_Area,AREA,160.0,"[0.0, 0.550000011920929, 1.0]","[-1.5229530334472656, 5.177516937255859, 0.07527600228786469]","[0.0, -0.0, -1.0902292728424072]",False,False,LIGHTS_AND_REFLECTION_HELPERS
V2B_OverheadAmber_0,AREA,520.0,"[1.0, 0.3700000047683716, 0.054999999701976776]","[-5.22226619720459, 2.649782180786133, 5.278862953186035]","[0.0, 0.0, 0.0]",False,False,LIGHTS_AND_REFLECTION_HELPERS
V2B_OverheadAmber_1,AREA,300.0,"[1.0, 0.3700000047683716, 0.054999999701976776]","[5.28436279296875, 2.6534018516540527, 5.278862953186035]","[0.0, -0.0, 3.1018993854522705]",False,False,LIGHTS_AND_REFLECTION_HELPERS
