object,category,mesh,data_users,vertices,edges,polygons,boundary_edges,nonmanifold_edges,shape_key_count,active_shape_key,shape_keys,vertex_group_count,armature_modifier_count,parent,materials,hide_viewport,hide_render
HERO_Storefront_ContinuousTopFrame,ENVIRONMENT_EFFECT,Cube.058,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ConjoinedBlackMetalFrames,False,False
HERO_Storefront_LeftVertical_0,ENVIRONMENT_EFFECT,Cube.119,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ConjoinedBlackMetalFrames,False,False
HERO_Storefront_LeftVertical_1,ENVIRONMENT_EFFECT,Cube.171,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ConjoinedBlackMetalFrames,False,False
HERO_Storefront_LeftVertical_2,ENVIRONMENT_EFFECT,Cube.179,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ConjoinedBlackMetalFrames,False,False
HERO_Storefront_LeftVertical_3,ENVIRONMENT_EFFECT,Cube.187,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ConjoinedBlackMetalFrames,False,False
HERO_Storefront_MidHorizontal_0,ENVIRONMENT_EFFECT,Cube.133,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ConjoinedBlackMetalFrames,False,False
HERO_Storefront_MidHorizontal_1,ENVIRONMENT_EFFECT,Cube.173,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ConjoinedBlackMetalFrames,False,False
HERO_Storefront_MidHorizontal_2,ENVIRONMENT_EFFECT,Cube.181,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ConjoinedBlackMetalFrames,False,False
HERO_Storefront_MidHorizontal_3,ENVIRONMENT_EFFECT,Cube.189,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ConjoinedBlackMetalFrames,False,False
HERO_Storefront_RightVertical_0,ENVIRONMENT_EFFECT,Cube.126,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ConjoinedBlackMetalFrames,False,False
HERO_Storefront_RightVertical_1,ENVIRONMENT_EFFECT,Cube.172,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ConjoinedBlackMetalFrames,False,False
HERO_Storefront_RightVertical_2,ENVIRONMENT_EFFECT,Cube.180,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ConjoinedBlackMetalFrames,False,False
HERO_Storefront_RightVertical_3,ENVIRONMENT_EFFECT,Cube.188,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_ConjoinedBlackMetalFrames,False,False
HERO_StoreMall_DeepBody,CHARACTER,Cube.050,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_StoreStucco,False,False
HERO_StoreMall_FlatRoof,ENVIRONMENT_EFFECT,Cube.056,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_FlatRoof,False,False
HERO_StoreMall_FrontParapet,ENVIRONMENT_EFFECT,Cube.057,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_StoreStucco,False,False
HERO_Underglow_FrontHiddenStrip,ENVIRONMENT_EFFECT,Cube.054,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_CyanUnderglow,False,False
HERO_Underglow_RearHiddenStrip,ENVIRONMENT_EFFECT,Cube.055,1,8,12,6,0,0,0,,,0,0,,HERO_MAT_CyanUnderglow,False,False
L.Eye,CHARACTER,Sphere.019,1,482,992,512,0,0,0,,,0,0,,Material.001,False,False
Lid Pins.001,OTHER,Mesh.019,1,2780,5746,2970,0,0,0,,,0,0,Large Trash Can,Can.001,False,False
Lid.001,OTHER,Mesh.017,1,21254,44416,23160,0,40,0,,,0,0,Large Trash Can,Can.002,False,False
Lightning,ENVIRONMENT_EFFECT,Cylinder,1,1856,3680,1826,0,0,0,,,0,0,,Material.022,False,False
Lowerpoly hoodie,CHARACTER,SACKBOY_Hoodie_Main_Mesh.002,1,7107,21232,14099,85,578,0,,,0,0,,Cloth Black.004 | Cloth Black.004 | Cloth Black.004 | Material107852.002 | Material118001.002,False,False
Mball.008,OTHER,Mesh.001,1,1510,3395,1893,0,0,0,,,0,0,177d920ddde57c74f8e1ef18863ab511,no parking_Rusty painted metal,False,False
Mball.011,OTHER,Mesh,1,1930,4349,2419,0,0,0,,,0,0,Plane.023,no parking_Procedural Metal 01,False,False
Mountains,ENVIRONMENT_EFFECT,Plane.001,1,4225,8320,4096,256,256,0,,,0,0,,Material.021,False,False
Plane,OTHER,Plane,1,405,776,372,64,64,0,,,0,0,Audi e-tron GT quattro Black,Material.002,False,False
Plane.001,CHARACTER,Plane.036,1,10292,21106,10800,836,838,0,,,0,0,Shoes,Rubber Black | Cloth Black | Cloth Black | Shoes_Metal.001 | Cloth Black | Cloth Black | Rubber Black,False,False
Plane.002,OTHER,Plane.002,1,1114,2133,1018,204,204,0,,,0,0,Audi e-tron GT quattro Black,Material.002,False,False
